Raza,Foto,Acerca de,Especificidades de la raza,Información clave,Tamaño
Bearded Collie,https://www.royalcanin.com/es/-/media/dog_cat_illustrations_grey-01.png?rev=af74c8185dca48b89bb905ba394b8eaa&w=320&fm=jpg&auto=compress,"Los Bearded Collies son perros serenos, están siempre en alerta, y son seguros de sí mismos, alegres y activos. Tienen el carácter de un perro de trabajo inteligente constante y son poco nerviosos. Los Bearded Collies parecen moverse sin esfuerzo, ya que son capaces de recorrer grandes distancias con elegancia y gracia. Su andar confirma que están hechos para su trabajo. Los expertos elogian la calidad del movimiento de este perro pastor, que combina flexibilidad con eficiencia. Como compañeros, son perros dóciles y equilibrados, y se adaptan a casi cualquier hogar. Son conocidos por ser pacientes con los niños y otros miembros de la familia, y conservan su carácter alegre y juguetón hasta una edad avanzada. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Reino Unido Categoría de tamaño: Mediano Esperanza de vida promedio: 12–15 años Personalidad: Equilibrado / Ágil / Trabajador / Entusiasta / Alerta / Obediente / Inteligente / Seguro, - Necesita un propietario con algo de experiencia - Requiere muchos cuidados - Necesita poco entrenamiento,M (11-25 kg)
Border Collie,https://cdn.royalcanin-weshare-online.io/efo9IGYBIYfdNSoCUQiA/v2/bd34bl-border-collie-adult-standing?w=320&fm=jpg&auto=compress,"Los Border Collie son perros inteligentes y leales que se caracterizan por su gracia, elegancia y equilibrio perfecto, sumado a una combinación de robustez y resistencia. Estos perros de trabajo tienen mucha energía y son cariñosos compañeros. Por sus necesidades de ejercicio y educación, los Border Collie son más adecuados para propietarios ó familias con experiencia previa con una raza de trabajo. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Reino Unido Categoría de tamaño: Mediano Esperanza de vida promedio: 12–15 años Personalidad: Trabajador / Entusiasta / Alerta / Obediente / Inteligente / Seguro, - Disfruta del entrenamiento - Necesita mucho ejercicio - Necesita un dueño con experiencia,M (11-25 kg)
Boyero de Appenzell,https://cdn.royalcanin-weshare-online.io/9iLMxWoBaxEApS7LVBs6/v1/bd129bl-hub-appenzell-cattle-dog-adult-standing?w=320&fm=jpg&auto=compress,"Los Boyeros de Appenzell, que tradicionalmente se utilizaban para guiar y vigilar el ganado y otros animales, así como para proteger granjas, también son perros versátiles para el trabajo y excelentes como mascotas. Pertenecen a una raza canina tricolor de tamaño mediano y forma cuadrada de buenas proporciones. Musculosos, inquietos y ágiles, con una expresión traviesa muy característica, estos perros suelen tener buen carácter y ser alegres y seguros de sí mismos. Son intrépidos, pero desconfían de los extraños. Si bien tienen fama de ser inalterables, al mismo tiempo son muy receptivos y excelentes compañeros. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Suiza Categoría de tamaño: Mediano Esperanza de vida promedio: 12–14 años Personalidad: Cariñoso / Dócil / Inteligente / Fuerte / Alegre, - Un gran perro guardián - Necesita mucho ejercicio - Requiere cuidados mínimos,M (11-25 kg)
Boyero de Entlebuch,https://www.royalcanin.com/es/-/media/dog_cat_illustrations_grey-01.png?rev=af74c8185dca48b89bb905ba394b8eaa&w=320&fm=jpg&auto=compress,"Tradicionalmente, los Boyeros de Entlebuch, se utilizaban para guiar y proteger al ganado, y vigilar la granja. Hoy se los reconoce como perros versátiles para el trabajo y la familia. Estos perros compactos tienen el mismo pelaje tricolor que otros perros suizos de montaña y pastoreo.  Se trata de una raza muy ágil y activa, que ha ganado admiradores gracias a su expresión abierta y dócil. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Suiza Categoría de tamaño: Mediano Esperanza de vida promedio: 11–15 años Personalidad: Alerta / Alegre / Seguro / Dócil / Leal / Afable / Inteligente, - Un gran perro para una familia - Requiere espacio exterior - Requiere cuidados mínimos,M (11-25 kg)
Boyero de las Ardenas,https://cdn.royalcanin-weshare-online.io/7mlUHWsBG95Xk-RBI_hl/v1/bd38bl-hub-bouvier-des-ardennes-adult-standing?w=320&fm=jpg&auto=compress,"Estos perros belgas de ganado son animales de tamaño mediano y robusto con pelaje áspero y despeinado, excepto en la cabeza, donde el pelo es corto y plano. El pelaje del boyero de las Ardenas es denso y resistente a la intemperie, lo que les permite vigilar y conducir manadas sin importar las condiciones climatológicas.  Aunque se cría principalmente como perro de trabajo, el boyero de las Ardenas es una mascota cariñosa y atenta, ideal para familias activas. Son pacientes con los niños y se adaptan con relativa facilidad a hogares donde hay otras mascotas, siempre y cuando se les presenten de manera adecuada.  Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Bélgica Categoría de tamaño: Mediano Esperanza de vida promedio: 11–14 años Personalidad: Juguetón / Alegre / Ágil / Sociable / Adaptable / Seguro / Protector, - Necesita cuidados moderados - Un gran perro guardián - Disfruta del entrenamiento,M (11-25 kg)
Braco de Ariège,https://cdn.royalcanin-weshare-online.io/Tfo9x2oBIYfdNSoCyhkw/v1/bd152bl-hub-ariege-pointing-dog-adult-standing?w=320&fm=jpg&auto=compress,"Estos perros de muestra de montaña del suroeste de Francia están adaptados a todas las formas de caza. Resistentes, dóciles y fáciles de educar, son unos perros fuertes y estilizados que exudan un gran vigor. En estos animales, se busca obtener extremidades delgadas, músculos prominentes y líneas bien definidas. Su pelaje blanco moteado de color naranja, a veces de color marrón, da lugar a un perro elegante y distinguido. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Francia Categoría de tamaño: Mediano Esperanza de vida promedio: 12–15 años Personalidad: Alegre / Independiente / Tranquilo, - Necesita poco entrenamiento - Necesita cuidados moderados - Un gran perro guardián,M (11-25 kg)
Braco de Saint Germain,https://cdn.royalcanin-weshare-online.io/QyI-x2oBaxEApS7LVhyP/v1/bd156bl-hub-saint-germain-pointer-adult-standing?w=320&fm=jpg&auto=compress,"Los Bracos de Saint Germain son pointers que se utilizan, principalmente, para cazar aves, aunque de vez en cuando también cazan otro tipo de animales. A los Bracos de Saint Germain, que son sumamente sociables, bien equilibrados y cariñosos con los humanos, les gusta la vida familiar, pero, ante todo, son cazadores. Prefieren el faisán, la perdiz y la becada, que recuperan con sumo cuidado. Son fáciles de entrenar, aunque no les gustan las prisas. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Francia Categoría de tamaño: Mediano Esperanza de vida promedio: 12–13 años Personalidad: Dócil / Sociable / Cariñoso / Obediente, - Un gran perro para una familia - Disfruta del entrenamiento - Necesita cuidados moderados,M (11-25 kg)
Braco del Borbonesado,https://cdn.royalcanin-weshare-online.io/Tvo9x2oBIYfdNSoC_BmA/v1/bd153bl-hub-bourbonnais-pointing-dog-adult-standing?w=320&fm=jpg&auto=compress,"En casa, esta raza es dócil y cariñosa, pero en la caza, su pasión e inteligencia le permiten adaptarse fácilmente a todo tipo de presas y terrenos. Estos perros, buscan olores en el suelo por naturaleza y tienen una aptitud práctica y precisa para la muestra. El Bourbonnais es un perro de tamaño mediano de pelo corto y constitución compacta y musculosa que expresa fuerza y poder. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Francia Categoría de tamaño: Mediano Esperanza de vida promedio: 13–15 años Personalidad: Cariñoso / Inteligente / Tranquilo / Equilibrado / Trabajador, - Requiere cuidados mínimos - Disfruta del entrenamiento - Requiere espacio exterior,M (11-25 kg)
"Braco Francés, Tipo Pirineos",https://cdn.royalcanin-weshare-online.io/Wfq2H2YBIYfdNSoCtggQ/v2/bd155bl-braque-francais-pyrenees-type-adult-standing?w=320&fm=jpg&auto=compress,"El Braco Francés proviene del sur de los Pirineos. Es una raza muy adaptable por lo que suele convivir con cazadores de otras regiones de Francia y del extranjero. El Braco Francés tipo Pirineos tiene las mismas características generales que el tipo Gascuña, solo que es más pequeño y liviano. Estos perros son robustos, bien musculados, pero no son pesados. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Francia Categoría de tamaño: Mediano Esperanza de vida promedio: 12–15 años Personalidad: Cariñoso / Inteligente / Tranquilo / Equilibrado, - Requiere cuidados mínimos - Un gran perro para una familia - Necesita mucho ejercicio,M (11-25 kg)
Braco húngaro de pelo corto,https://cdn.royalcanin-weshare-online.io/NiIzx2oBaxEApS7LmxzA/v1/bd113bl-hub-hungarian-short-haired-pointer-vizsla-adult-standing?w=320&fm=jpg&auto=compress,"Sus cualidades típicas son un hocico sobresaliente, habilidades notables para recuperar presas y una capacidad innata para seguir un rastro, incluso nadando. Por su naturaleza tranquila, están bien adaptados para vivir en interior. El braco húngaro de pelo corto, o vizsla, es un perro bastante delgado y liviano que representa la fuerza y la belleza en perfecta armonía. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Hungría Categoría de tamaño: Mediano Esperanza de vida promedio: 12–15 años Personalidad: Alegre / Afable / Equilibrado / Sensible / Seguro, - Necesita cuidados moderados - Requiere espacio exterior - Bueno con las personas,M (11-25 kg)
Briquet Griffon Vendeano,https://cdn.royalcanin-weshare-online.io/T_o-x2oBIYfdNSoCjxnl/v5/bd158bl-hub-briquet-griffon-vendeen-adult-standing?w=320&fm=jpg&auto=compress,"El Briquet Griffon Vendeano es un perro robusto con una gran iniciativa y resistencia, y con capacidad para detectar rastros y conducir al cazador hasta la presa. Es un cazador entusiasta que necesita mano firme. De tamaño mediano, robusto y bien proporcionado, este Grifón es receptivo y muy obstinado. Es la única raza que ha mantenido en el nombre el término ""Briquet"", que significa 'perro de tamaño mediano'. Antes de la Primera Guerra Mundial, el Conde de Elva inició un programa de reproducción controlada para crear una versión más pequeña y mejorada del Gran Grifón Vendeano. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Francia Categoría de tamaño: Mediano Esperanza de vida promedio: 10–12 años Personalidad: Alerta / Alegre / Afable / Fuerte / Independiente / Inteligente, - La educación deberá comenzar pronto - Necesita mucho ejercicio - Necesita cuidados moderados,M (11-25 kg)
Buhund noruego,https://cdn.royalcanin-weshare-online.io/q2nasmoBG95Xk-RB4_bC/v3/bd252bl-hub-norwegian-buhund-adult-standing?w=320&fm=jpg&auto=compress,"Valientes, enérgicos y afables, los buhunds noruegos son raros fuera de su país natal, donde tienen una excelente reputación como compañeros con los que es fácil convivir y que son sencillos de adiestrar. Este característico perro tipo spitz es una raza ""de forma cuadrada"" un poco más pequeña que la media. Sus orejas, rectas y puntiagudas, enfatizan su expresión franca y en estado de alerta. La cola la lleva firmemente enroscada sobre la espalda. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Noruega Categoría de tamaño: Mediano Esperanza de vida promedio: 12–15 años Personalidad: Alerta / Afable / Seguro / Inteligente / Leal / Tranquilo / Equilibrado / Fuerte / Obstinado, - Requiere espacio exterior - Un gran perro para una familia - Necesita cuidados moderados,M (11-25 kg)
Bulldog francés,https://cdn.royalcanin-weshare-online.io/FCIPHWsBaxEApS7LNB0Z/v1/bd12bl-hub-french-bulldog-adult-standing?w=320&fm=jpg&auto=compress,"Los bulldogs franceses son una raza típica de molosos de pequeño tamaño musculosos, compactos y sólida estructura ósea. Son perros robustos pero cariñosos, con unas orejas grandes que les dan una expresión de curiosidad y estado de alerta. Son extrovertidos, alegres, juguetones, atléticos y, sobre todo, cariñosos con personas de todas las edades. El primer club de esta raza se fundó en París en 1880 y el primer registro de un bulldog francés se realizó cinco años después. La raza se reconoció oficialmente por primera vez en Francia en 1898. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Francia Categoría de tamaño: Mediano Esperanza de vida promedio: 10–13 años Personalidad: Sociable / Alegre / Juguetón / Entusiasta, - Necesita un entrenamiento moderado - Jardín no esencial - Requiere cuidados mínimos,M (11-25 kg)
Bulldog Inglés,https://cdn.royalcanin-weshare-online.io/ECIKHWsBaxEApS7LbR2l/v1/bd10bl-hub-bulldog-adult-standing?w=320&fm=jpg&auto=compress,"Dan sensación de determinación, fuerza y actividad, y gozan de una personalidad alegre, audaz, leal y valiente. A pesar de su aspecto algo rudo, el Bulldog inglés es muy cariñoso con los que le rodean. Además de algunas características particulares, los Bulldogs ingleses realmente se distinguen por su modo de andar especialmente pesado y limitado. Parece que dan pasos cortos y rápidos sobre la punta de los pies, dando la impresión de que sus pies traseros no se levantan del suelo. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Reino Unido Categoría de tamaño: Mediano Esperanza de vida promedio: 8–12 años Personalidad: Cariñoso / Obstinado / Alegre / Alerta / Seguro / Leal, - Requiere cuidados mínimos - Necesita poco ejercicio - Requiere mucho entrenamiento,M (11-25 kg)
Caniche,https://cdn.royalcanin-weshare-online.io/IiIsx2oBaxEApS7Lrhy3/v1/bd94bl-hub-poodle-adult-standing?w=320&fm=jpg&auto=compress,"Su fama de perro leal, elegante y con capacidad de aprendizaje ayuda a explicar por qué son tan apreciados como perros de compañía en todo el mundo. Los Caniches son compañeros inteligentes, siempre alerta y activos, que muestran muy dignos en cualquier situación.  Caniche en inglés se dice ""Poodle"", que proviene de la palabra alemana ""Pudel"". En alemán, ""puddeln"" es un verbo que significa ""salpicar"". En francés, la raza se llama Caniche, cuya raíz es la palabra ""cane"", que significa ""pata"" (la hembra del pato). Así que, en todos los casos, los Caniches están vinculados con el agua. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Francia Categoría de tamaño: Mediano Esperanza de vida promedio: 12–15 años Personalidad: Afable / Leal / Alerta / Alegre / Equilibrado, - Requiere muchos cuidados - Jardín no esencial -   -  - Necesita poco entrenamiento,M (11-25 kg)
Cazador de Alces Noruego,https://cdn.royalcanin-weshare-online.io/M_oqx2oBIYfdNSoC2RmT/v1/bd89bl-hub-norwegian-elkhound-adult-standing?w=320&fm=jpg&auto=compress,"Al Cazador de Alces Noruego le sobran el coraje y la frialdad necesarios para perseguir a estos poderosos animales. Atrevido, protector y con un excelente sentido de la diversión, el Cazador de Alces Noruego es un perro fiel a su familia. Esta raza es una de las más antiguas de Europa. Se cree que navegó con los vikingos, e incluso aparece en el arte nórdico. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Noruega Categoría de tamaño: Mediano Esperanza de vida promedio: 12–15 años Personalidad: Seguro / Alegre, - Un gran perro guardián - Requiere muchos cuidados - Requiere espacio exterior,M (11-25 kg)
Chow Chow,https://cdn.royalcanin-weshare-online.io/GCJ_HWsBaxEApS7LYh2z/v1/bd52bl-hub-chow-chow-adult-standing?w=320&fm=jpg&auto=compress,"Estos perros son animales tranquilos, adecuados como guardianes, y tienen una serie de características únicas, una de las cuales es su apariencia de león y su marcha segura. Esta raza muestra dos tipos de pelaje: un pelaje más largo y áspero y otro más corto y suave.  Los Chow Chow son perros independientes, pero muy leales con sus propietarios. Estos perros pueden desconfiar de los extraños y parecer muy tímidos con las personas que no conocen. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: China Categoría de tamaño: Mediano Esperanza de vida promedio: 9–15 años Personalidad: Alegre / Tranquilo / Protector / Independiente / Leal / Tímido, - Necesita un propietario con algo de experiencia - Un gran perro guardián - Requiere mucho entrenamiento,M (11-25 kg)
Cirneco del Etna,https://cdn.royalcanin-weshare-online.io/1yIqxWoBaxEApS7Lxhva/v1/bd169bl-hub-cirneco-delletna-adult-stainding?w=320&fm=jpg&auto=compress,Estos perros de mediano tamaño y de líneas esbeltas y elegantes son robustos y resistentes. Su cuerpo cuadrado y de complexión ligera está cubierto de un pelo fino.  Se trata de una raza poco común que se encuentra principalmente en su región natal. La FCI reconoció el estándar en 1989. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI),País: Italia Categoría de tamaño: Mediano Esperanza de vida promedio: 12–15 años Personalidad: Obstinado / Cariñoso / Dócil / Leal, - Disfruta del entrenamiento - Requiere cuidados mínimos - Necesita mucho ejercicio,M (11-25 kg)
Cocker inglés,https://cdn.royalcanin-weshare-online.io/2PrGHWsBIYfdNSoCEBqY/v1/bd58bl-hub-english-cocker-spaniel-adult-standing?w=320&fm=jpg&auto=compress,"El Cocker Inglés es cariñoso y dócil con las personas que conoce. Estos perros alegres, vigorosos y equilibrados son los spaniel más conocidos y extendidos. Son perros bajos y compactos que destacan por su carácter alegre. Son perros que se adaptan muy bien al hogar familiar y se convierten en excelentes compañeros para propietarios activos. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Reino Unido Categoría de tamaño: Mediano Esperanza de vida promedio: 12–14 años Personalidad: Alegre / Afable / Seguro / Dócil / Cariñoso, - Requiere muchos cuidados - Disfruta del entrenamiento - Un gran perro para una familia,M (11-25 kg)
Cocker spaniel americano,https://cdn.royalcanin-weshare-online.io/s_o5HWsBIYfdNSoC4BoK/v1/bd24bl-hub-american-cocker-spaniel-adult-standing?w=320&fm=jpg&auto=compress,"Estos perros extrovertidos son apreciados por muchos y su tamaño permite llevarlos a casi cualquier parte. Aunque es el menor de los perros deportivos, los cocker spaniels americanos son muy proporcionados, con una cabeza finamente cincelada sobre un cuerpo fuerte y compacto. Los cocker spaniels americanos son perros amigables, afables y tranquilos que establecen fuertes vínculos con su familia. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Estados Unidos Categoría de tamaño: Mediano Esperanza de vida promedio: 12–15 años Personalidad: Alegre / Cariñoso / Alerta / Entusiasta / Afable / Dócil / Inteligente / Leal / Sociable / Fuerte, - Necesita un entrenamiento moderado - Requiere muchos cuidados - Jardín no esencial,M (11-25 kg)
Collie de Pelo Corto,https://cdn.royalcanin-weshare-online.io/smnksmoBG95Xk-RBOfbe/v1/bd304bl-hub-collie-smooth-adult-standing?w=320&fm=jpg&auto=compress,"Los Collie de Pelo Corto se criaron enfocándose en la fuerza y la actividad. Los Collie de Pelo Corto son alegres y afables, pero nunca tímidos ni agresivos. Sus ojos son una característica muy importante, ya que le confieren al perro una expresión dócil. Estos son de tamaño mediano, tienen forma de almendra y están ubicados ligeramente hacia el ángulo. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Reino Unido Categoría de tamaño: Mediano Esperanza de vida promedio: 12–16 años Personalidad: Cariñoso / Alerta / Afable / Dócil / Inteligente / Leal / Sociable, - Requiere cuidados mínimos - Disfruta del entrenamiento - Un gran perro guardián,M (11-25 kg)
Collie de pelo largo,https://cdn.royalcanin-weshare-online.io/wmnrsmoBG95Xk-RB9Pbt/v1/bd285bl-hub-collie-rough-adult-standing?w=320&fm=jpg&auto=compress,"Famosos en todo el mundo por la franquicia de lassie, estos perros extremadamente inteligentes y leales suelen encontrarse en las Tierras Altas de Escocia, donde se utilizan principalmente como perros de pastoreo. Los collies de pelo largo son de naturaleza sociable y fáciles de educar, lo que los convierte en excelentes mascotas familiares, aunque son más adecuados para propietarios activos, dadas sus altas necesidades de ejercicio. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Reino Unido Categoría de tamaño: Mediano Esperanza de vida promedio: 14–16 años Personalidad: Alegre / Afable / Sociable / Seguro, - Un gran perro para una familia - Necesita poco entrenamiento - Necesita cuidados moderados,M (11-25 kg)
