Raza,Foto,Acerca de,Especificidades de la raza,Información clave,Tamaño
Carlino,https://cdn.royalcanin-weshare-online.io/wmmiHGsBG95Xk-RBsfhY/v1/bd2bl-hub-pug-adult-standing?w=320&fm=jpg&auto=compress,"El carlino tiene un aspecto especial, que a muchos les resulta increíblemente atractivo y, como tal, su popularidad aumenta año tras año. Los carlinos tienen un pelaje fácil de mantener y no necesitan hacer demasiado ejercicio, lo cual supone una gran ventaja para propietarios ocupados. El carlino, una mascota sumamente adorable, es conocido por su carácter curioso y enérgico. Forma parte del grupo de perros toy, pero resulta especial por ser el único miembro del grupo que supuestamente comparte su ascendencia con los mastines. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: China Categoría de tamaño: Pequeño Esperanza de vida promedio: 12–15 años Personalidad: Equilibrado / Afable / Alegre / Inteligente, - Dificultades en clima cálido - Requiere mucho entrenamiento - Les gusta mucho que los acicalen.,S (5-10 kg)
Cavalier King Charles,https://cdn.royalcanin-weshare-online.io/yvphHWsBIYfdNSoCRhpx/v1/bd48bl-hub-cavalier-king-charles-spaniel-adult-standing?w=320&fm=jpg&auto=compress,"Su naturaleza alegre y afable, carente de cualquier agresividad, ha acrecentado la popularidad de esta raza desde finales del milenio pasado. Activo, afable y equilibrado, el Cavalier King Charles tiene una expresión especialmente dócil, con grandes ojos oscuros que exudan inteligencia y curiosidad. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Reino Unido Categoría de tamaño: Pequeño Esperanza de vida promedio: 10–14 años Personalidad: Alegre / Cariñoso / Seguro / Afable / Equilibrado, - Necesita cuidados moderados - Jardín no esencial - Un gran perro para una familia,S (5-10 kg)
Coton de Tuléar,https://cdn.royalcanin-weshare-online.io/HCKLHWsBaxEApS7L1x3Q/v5/bd53bl-hub-coton-de-tulear-adult-standing?w=320&fm=jpg&auto=compress,"El pelaje es una de las características principales de esta raza, hasta tal punto que debido a esto recibe su nombre. El pelo de textura algodonada es suave y maleable. Estos perros tienen ojos oscuros y redondos que expresan vivacidad e inteligencia.  El carácter sociable y alegre es una de las características principales de la raza. Estos pequeños y encantadores perros establecen estrechos lazos rápidamente con sus propietarios y se llevan bien con otros perros. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Madagascar Categoría de tamaño: Pequeño Esperanza de vida promedio: 14–16 años Personalidad: Alegre / Inteligente / Afable / Sociable / Adaptable, - Requiere muchos cuidados - Un gran perro para una familia - Jardín no esencial,S (5-10 kg)
Dandie Dinmont Terrier,https://cdn.royalcanin-weshare-online.io/GPotxWoBIYfdNSoCHRlP/v1/bd174bl-hub-dandie-dinmont-terrier-adult-standing?w=320&fm=jpg&auto=compress,"Estos alegres y trabajadores terriers son perros independientes, muy inteligentes, obstinados, tenaces, sensibles, cariñosos y dignos perros de compañía. Tiene una frondosa capa de pelo suave en la cabeza y grandes ojos que irradian inteligencia y sabiduría. El cuerpo largo y de baja altura a la cruz, tiene una estructura sólida, con patas cortas y robustas. Dandie Dinmont era un granjero que tenía una jauría de estos perros en la novela Guy Mannering o El astrólogo, de Sir Walter Scott, ambientada en las fronteras entre Escocia e Inglaterra. Scott también proporcionó los nombres de los colores ""pimienta"" y ""mostaza"". Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Reino Unido Categoría de tamaño: Pequeño Esperanza de vida promedio: 12–15 años Personalidad: Inteligente / Independiente / Obstinado / Cariñoso, - Requiere muchos cuidados - Un gran perro para una familia - Necesita ejercicio moderado,S (5-10 kg)
Fox terrier de pelo duro,https://www.royalcanin.com/es/-/media/dog_cat_illustrations_grey-01.png?rev=af74c8185dca48b89bb905ba394b8eaa&w=320&fm=jpg&auto=compress,"De pie, los fox terrier de pelo duro parecen un caballo de caza con el lomo más corto. En movimiento, abarcan mucho terreno. Hasta el auge de las razas terrier mini como perros de compañía, el fox terrier de pelo duro fue, con mucha diferencia, el miembro más popular de la familia durante siglos. Estos perros son afables y sociables con sus compañeros cercanos, pero audaces y obstinados siguiendo un rastro, bien en la superficie o bajo suelo. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Reino Unido Categoría de tamaño: Pequeño Esperanza de vida promedio: 12–14 años Personalidad: Alegre / Alerta / Entusiasta / Afable / Seguro, - Requiere mucho entrenamiento - Jardín no esencial - Necesita cuidados moderados,S (5-10 kg)
Fox Terrier de Pelo Liso,https://cdn.royalcanin-weshare-online.io/sWnjsmoBG95Xk-RB9vaD/v1/bd305bl-hub-fox-terrier-smooth-adult-standing?w=320&fm=jpg&auto=compress,"Los Fox Terrier de Pelo Liso son perros activos y alegres; siempre están atentos y alerta ante cualquier desafío. Son afables, sociables y osados. Como su propio nombre indica (""fox"" significa ""zorro"" en inglés), su función principal consistía en rastrear y perseguir zorros. Ya sea que el Fox Terrier de Pelo Liso se utilice para cazar o no, le encanta correr, cavar y explorar y por eso son más adecuados para las familias activas. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Reino Unido Categoría de tamaño: Pequeño Esperanza de vida promedio: 12–15 años Personalidad: Alerta / Entusiasta / Afable / Seguro, - Requiere cuidados mínimos - Requiere mucho entrenamiento - Necesita mucho ejercicio,S (5-10 kg)
Grifón Belga,https://cdn.royalcanin-weshare-online.io/dvrNsmoBIYfdNSoCKBiq/v1/bd209bl-hub-griffon-belge-adult-standing?w=320&fm=jpg&auto=compress,"Estos perros, inteligentes y bien equilibrados, está siempre en alerta, y son orgullosos y robustos. De constitución prácticamente cuadrada, tienen una buena estructura ósea, pero, aunque parezca contradictorio, son elegantes y se mueven con gracia. Su expresión casi humana llama la atención. Ni tímidos ni agresivos, son muy atentos y apegados a su compañero humano. Las tres razas (Grifón de Bruselas, Grifón Belga y Petit Brabançon) descienden de un perrito de pelaje áspero llamado Smousje, que llevaba siglos en la región de Bruselas. Estos perritos se criaron para vigilar carros y mantener los establos libres de roedores. Los dos Grifones tienen un pelaje áspero y pueden distinguirse por el color, mientras que el Petit Brabançon tiene el pelo corto. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Bélgica Categoría de tamaño: Pequeño Esperanza de vida promedio: 12–15 años Personalidad: Cariñoso / Alerta / Afable / Inteligente / Leal / Tranquilo / Sensible, - Necesita cuidados moderados - Adecuado para casas pequeñas - Un gran perro para una familia,S (5-10 kg)
Grifón de Bruselas,https://cdn.royalcanin-weshare-online.io/-GlZHWsBG95Xk-RBQ_jY/v1/bd42bl-hub-griffon-bruxellois-adult-standing?w=320&fm=jpg&auto=compress,"El Grifón de Bruselas, originario de Bélgica como ratonero, se convirtió muy pronto en una mascota muy apreciada. Esta raza, de carácter muy nervioso y sensible, a menudo necesita ser el centro de atención por lo que necesita un propietario que esté preparado para dedicar todo su tiempo a su nuevo compañero.  Aunque es de pequeño tamaño, el Grifón de Bruselas disfruta de los entrenamientos de agility y obediencia, y suele destacar en deportes de rendimiento. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Bélgica Categoría de tamaño: Pequeño Esperanza de vida promedio: 12–15 años Personalidad: Inteligente / Equilibrado / Alerta / Fuerte / Leal / Seguro, - Es posible que no se lleve bien con los niños - Necesita un entrenamiento moderado - Jardín no esencial,S (5-10 kg)
Jack Russell Terrier,https://www.royalcanin.com/es/-/media/dog_cat_illustrations_grey-01.png?rev=af74c8185dca48b89bb905ba394b8eaa&w=320&fm=jpg&auto=compress,"Los Jack Russell Terrier tienen una gran personalidad y carácter, y pueden superar y agotar a perros de tamaño mucho más grande. Por lo tanto, necesitan mucho ejercicio y estimulación todos los días.  La raza Jack Russell Terrier suele ser popular entre los propietarios de caballos, ya que no hay nada que estos terriers adoren más que ocuparse de los establos y acompañar a los jinetes cuando salen. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Reino Unido Categoría de tamaño: Pequeño Esperanza de vida promedio: 13–16 años Personalidad: Alegre / Alerta / Inteligente / Seguro / Afable / Entusiasta, - Le encanta cazar - Un gran perro deportivo - Requiere mucho entrenamiento,S (5-10 kg)
Jagd Terrier,https://cdn.royalcanin-weshare-online.io/hPrSsmoBIYfdNSoCDhgf/v1/bd229bl-hub-german-hunting-terrier-adult-standing?w=320&fm=jpg&auto=compress,"Los Jagd Terriers son los terriers perfectos para trabajo. Estos perros, aún criados por cazadores en su mayoría, son ideales para la caza bajo tierra y como perros levantadores. Son perros de confianza, serviciales, intrépidos, tenaces y llenos de energía. Los Jagd Terrier, compactos y bien proporcionados, son animales sociables y obedientes; no son agresivos ni asustadizos. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Alemania Categoría de tamaño: Pequeño Esperanza de vida promedio: 12–15 años Personalidad: Seguro / Obstinado / Leal / Cariñoso, - Necesita mucho ejercicio - Paciente con niños y otros animales - Requiere cuidados mínimos,S (5-10 kg)
King Charles spaniel,https://www.royalcanin.com/es/-/media/dog_cat_illustrations_grey-01.png?rev=af74c8185dca48b89bb905ba394b8eaa&w=320&fm=jpg&auto=compress,"Los King Charles spaniel, a veces conocidos como spaniels ingleses miniatura, son perros inteligentes y alegres. Aunque suelen mostrarse tímidos con los extraños, son muy dóciles y cariñosos con los que conocen.  El King Charles spaniel es un excelente compañero para personas mayores o con problemas de movilidad, ya que requieren poco ejercicio y nada les gusta más que dedicar el día a relajarse con sus propietarios. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Reino Unido Categoría de tamaño: Pequeño Esperanza de vida promedio: 10–12 años Personalidad: Afable / Inteligente / Tímido / Dócil / Cariñoso, - Necesita poco ejercicio - Jardín no esencial - Requiere muchos cuidados,S (5-10 kg)
Lakeland Terrier,https://cdn.royalcanin-weshare-online.io/omnWsmoBG95Xk-RBU_bA/v1/bd240bl-hub-lakeland-terrier-adult-standing?w=320&fm=jpg&auto=compress,"Seguros de sí mismos, audaces y con una actitud entusiasta, estos perros compactos se mueven muy rápido. El Lakeland Terrier, desarrollado para correr con jaurías de perros por el terreno empinado y rocoso del Distrito de los Lagos, es un perro muy seguro, ágil y extremadamente resistente. El pelo de color negro y marrón es el más común entre los Lakeland Terriers, pero también hay una variedad de color negro. En Gran Bretaña desapareció, pero los criadores escandinavos lo han vuelto a introducir en la población. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Reino Unido Categoría de tamaño: Pequeño Esperanza de vida promedio: 12–16 años Personalidad: Inteligente / Equilibrado / Seguro / Entusiasta / Afable, - Requiere muchos cuidados - Jardín no esencial - Necesita un entrenamiento moderado,S (5-10 kg)
Lhasa Apso,https://cdn.royalcanin-weshare-online.io/GiIpx2oBaxEApS7LOxzD/v1/bd84bl-hub-lhasa-apso-adult-standing?w=320&fm=jpg&auto=compress,"Pese a sus pequeñas dimensiones, el Lhasa Apso es un perro confiado que no le gusta recibir órdenes. De naturaleza despierta, en seguida avisa a los intrusos de su presencia.  Esta raza es un Terrier en todo menos en el nombre, en especial por su carácter seguro y sociable. Su nombre no incluye la denominación Terrier para evitar confusiones con el Terrier Tibetano. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Tíbet Categoría de tamaño: Pequeño Esperanza de vida promedio: 12–15 años Personalidad: Afable / Seguro / Alerta / Equilibrado / Tímido, - Requiere muchos cuidados - Jardín no esencial - Un gran perro guardián,S (5-10 kg)
Lundehund noruego,https://cdn.royalcanin-weshare-online.io/j_rbsmoBIYfdNSoCeRg1/v1/bd254bl-hub-norwegian-lundehund-adult-standing?w=320&fm=jpg&auto=compress,"Los lundehunds noruegos son perros tipo spitz de constitución rectangular, bastante ligera y ágil. Siempre en alerta, enérgicos y activos, los lundehunds noruegos están perfectamente diseñados para cazar frailecillos en los fiordos rocosos y en los litorales. Provienen de las islas Lofoten, que se encuentran frente a la ciudad de Bodø, al norte del Círculo Polar Ártico. Estos perros pequeños fueron criados especialmente para los cazadores de frailecillos. Cabe destacar que la población cayó drásticamente después de que se prohibiese esta práctica. La raza actual se basa en solo cinco individuos, lo cual explica su notable homogeneidad. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Noruega Categoría de tamaño: Pequeño Esperanza de vida promedio: 12–14 años Personalidad: Alerta / Alegre / Leal, - Requiere espacio exterior - Necesita cuidados moderados - Requiere mucho entrenamiento,S (5-10 kg)
Mudi,https://cdn.royalcanin-weshare-online.io/jfrZsmoBIYfdNSoCxBix/v5/bd249bl-hub-mudi-adult-standing?w=320&fm=jpg&auto=compress,"Con una agilidad notable, además de realizar tareas de vigilancia y alerta, son muy buenos para detectar narcóticos. El Mudi tiene un pelaje relativamente corto y suave en la cabeza y las patas, mientras que en el resto del cuerpo el pelaje es más largo, ondulado o ligeramente rizado. Esta raza amorosa es ideal para familias y puede vivir en el interior sin problemas. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Hungría Categoría de tamaño: Pequeño Esperanza de vida promedio: 13–14 años Personalidad: Cariñoso / Seguro / Alerta / Seguro / Independiente / Inteligente / Leal / Equilibrado / Ágil, - Necesita cuidados moderados - Disfruta del entrenamiento - Necesita mucho ejercicio,S (5-10 kg)
Parson Russell Terrier,https://www.royalcanin.com/es/-/media/dog_cat_illustrations_grey-01.png?rev=af74c8185dca48b89bb905ba394b8eaa&w=320&fm=jpg&auto=compress,"Estos perros de trabajo activos y ágiles están diseñados para la velocidad y la resistencia. Su carcácter amable y leal hace que el Parson Russell Terrier sea una magnífica mascota familiar. Aunque son pequeños, no hay nada que estos perros disfruten más que correr al aire libre, por lo que no son recomendados para vivir en apartamentos o casas sin jardín. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Reino Unido Categoría de tamaño: Pequeño Esperanza de vida promedio: 13–15 años Personalidad: Alegre / Ágil / Equilibrado / Seguro / Afable, - Necesita poco entrenamiento - Necesita mucho ejercicio - Requiere muchos cuidados,S (5-10 kg)
Pastor de los Pirineos,https://cdn.royalcanin-weshare-online.io/pPrssmoBIYfdNSoCxhgd/v1/bd281bl-hub-pyrenean-sheepdog-adult-standing?w=320&fm=jpg&auto=compress,"Hay distintos tipos que varían considerablemente de un valle a otro, pero, si bien el tamaño y el pelaje pueden ser muy diferentes, su carácter y comportamiento nunca lo son. El primer estándar se publicó entre 1921 y 1925 y prácticamente no ha cambiado desde entonces. La mezcla de pelo grueso y lanoso a veces puede enredarse y acumularse en capas que se superponen sobre la grupa y los muslos. Incluso se pueden encontrar nudos de pelo en el pecho y en la parte frontal de los codos. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Francia Categoría de tamaño: Pequeño Esperanza de vida promedio: 15–17 años Personalidad: Seguro / Alegre, - Necesita mucho ejercicio - Paciente con niños y otros animales - Necesita cuidados moderados,S (5-10 kg)
Pastor de los Pirineos de Cara Rasa,https://cdn.royalcanin-weshare-online.io/EPqGH2YBIYfdNSoC0gg5/v1/bd306bl-smooth-faced-pyrenean-shepherd-adult-standing?w=320&fm=jpg&auto=compress,"Esta variedad de Pastor de los Pirineos se encuentra sobre todo en las laderas de los Pirineos, donde fue ""muy valorada por los comerciantes de caballos y por los ganaderos"", según Bernard Sénac-Lagrange (anuario de 1927). Las cualidades que lo distinguen de otros tipos de perros de los Pirineos le valieron un anexo al estándar de la raza en la década de 1920. En definitiva, el Pastor de los Pirineos de Cara Rasa tiene las mismas características que la variedad de pelo largo. Los rasgos distintivos son el cráneo, que es casi tan ancho como largo, y el hocico, que es un poco más corto que el cráneo, pero más largo que las variedades de cara rugosa. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Francia Categoría de tamaño: Pequeño Esperanza de vida promedio: 12–15 años Personalidad: Seguro / Alegre, - Necesita cuidados moderados - Un gran perro para una familia - Necesita mucho ejercicio,S (5-10 kg)
Pastor de Shetland,https://cdn.royalcanin-weshare-online.io/umnnsmoBG95Xk-RBB_Z1/v1/bd295bl-hub-shetland-sheepdog-adult-standing?w=320&fm=jpg&auto=compress,"Los Pastores de Shetland son perros de trabajo pequeños, de pelo largo y de gran belleza. Su pelaje abundante, su inteligencia, su paciencia y su expresión dócil lo convierten en un perro de familia ideal. Los perros de esta pequeña raza son despiertos, dóciles, fuertes y activos, además de cariñosos y atentos con su familia, aunque también algo tímidos con los extraños. Los Pastores de Shetland son famosos por su gran apego hacia su familia. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Reino Unido Categoría de tamaño: Pequeño Esperanza de vida promedio: 12–14 años Personalidad: Cariñoso / Alerta / Dócil / Inteligente / Alegre / Obediente / Tímido / Seguro, - Requiere muchos cuidados - Necesita poco entrenamiento - Un gran perro para una familia,S (5-10 kg)
Pekinés,https://cdn.royalcanin-weshare-online.io/HiIrx2oBaxEApS7Lbhxn/v1/bd91bl-hub-pekingese-adult-standing?w=320&fm=jpg&auto=compress,"Estos pequeños perros son intrépidos, fieles y relativamente distantes. El pekinés tiene un carácter equilibrado, pero puede mostrarse algo tímido con los recién llegados hasta que los conoce. Una vez que se siente plenamente aceptado, se hace amigo de todos.  Los machos suelen ser siempre más ligeros que las hembras, aunque ambos son más pesados de lo esperado por su tamaño. El pekinés se caracteriza por sus huesos pesados y su cuerpo robusto. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: China Categoría de tamaño: Pequeño Esperanza de vida promedio: 12–15 años Personalidad: Inteligente / Seguro / Leal / Tímido, - Requiere muchos cuidados - Jardín no esencial - Necesita poco entrenamiento,S (5-10 kg)
Pequeño lebrel italiano,https://cdn.royalcanin-weshare-online.io/FSImx2oBaxEApS7LrRwH/v1/bd77bl-hub-italian-greyhound-adult-sitting?w=320&fm=jpg&auto=compress,"Los pequeños lebreles italianos están llenos de gracia y distinción, cualidades que llevan desde la última década granjeándoles el afecto de cada vez más personas. Aunque se trata casi exclusivamente de un perro de compañía, los pequeños lebreles italianos son auténticos galgos, lo que salta a la vista fácilmente cuando se mueven. Su marcha es elástica y armoniosa, de rápido galope. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Italia Categoría de tamaño: Pequeño Esperanza de vida promedio: 12–15 años Personalidad: Alegre / Cariñoso / Tranquilo / Atlético, - Jardín no esencial - Requiere cuidados mínimos - Requiere mucho entrenamiento,S (5-10 kg)
Pequeño perro león,https://cdn.royalcanin-weshare-online.io/ivrYsmoBIYfdNSoCSxh0/v1/bd244bl-hub-lowchen-little-lion-dog-adult-standing?w=320&fm=jpg&auto=compress,"Los lowchen son muy obedientes y cariñosos con el hombre. Son perros atentos y receptivos que se encuentran cómodos en todas las circunstancias, pero tranquilos y discretos cuando se les dan órdenes. Su mirada franca y amorosa expresa interés, como si estuvieran tratando de entender lo que se espera de ellos. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Francia Categoría de tamaño: Pequeño Esperanza de vida promedio: 12–15 años Personalidad: Cariñoso / Alerta / Alegre / Afable / Dócil / Tranquilo / Tranquilo / Sociable / Fuerte / Obstinado, - Requiere muchos cuidados - Un gran perro guardián - Necesita mucha interacción con el hombre.,S (5-10 kg)
