Raza,Foto,Acerca de,Tamaño,No Alergia,País,Categoría de tamaño,Esperanza de vida promedio,Rasgo 1,Rasgo 2,Rasgo 3,Rasgo 4,Rasgo 5,Rasgo 6,Casa,Experiencia,Sociable,Entrenamiento,Actividades,Cuidados,Ejercicio,Guardia
Terrier Inglés Miniatura,https://cdn.royalcanin-weshare-online.io/uCJ5wWoBaxEApS7LIRu_/v1/bd187bl-hub-english-toy-terrier-adult-sitting?w=320&fm=jpg&auto=compress,"Tal como su nombre indica, estos perros combinan las cualidades de un terrier con las de un toy, aunque las características del toy pronto prevalecieron en el programa de cría. En el pasado, estos perros se utilizaban como cazadores de ratas; es por ello que siempre están alerta pero no son demasiado nerviosos. Estos adorables perritos aman la diversión y se adaptan a cualquier entorno doméstico. Las influencias terrier de esta raza convierten a sus ejemplares en animales curiosos y enérgicos, pero son felices pasando el día en casa con su familia humana. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",XS (< 4 kg),False, Reino Unido,Muy pequeño,12–13 años,Equilibrado,Alerta,Seguro,,,,Jardín no esencial,,,Necesita poco entrenamiento,,Requiere cuidados mínimos,,
Yorkshire Terrier,https://cdn.royalcanin-weshare-online.io/DSIIHWsBaxEApS7Lqx3G/v1/bd9bl-hub-yorkshire-terrier-adult-standing?w=320&fm=jpg&auto=compress,"El Yorkshire Terrier tiene un pelaje magnífico que requiere un cuidado continuo. Si bien parece un perro de peluche, en el fondo, no deja de ser un Terrier y conserva su instinto de caza, ya sea con sus juguetes en casa o con un roedor en el jardín. Los Yorkshire Terriers no siempre se llevan bien con los niños, en especial si estos son activos y ruidosos. A veces, el instinto dominante de este Terrier puede representar un desafío para otras mascotas y perros. No obstante, el temperamento de un perro suele ser producto de su entrenamiento y la forma de criarlo, por lo que, si se educa bien, el Yorkshire Terrier puede llegar a ser una gran mascota de la familia. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",XS (< 4 kg),True, Reino Unido,Muy pequeño,15–16 años,Alerta,Inteligente,Alegre,Equilibrado,Afable,,,,Es posible que no se lleve bien con los niños,,,Requiere muchos cuidados,Necesita poco ejercicio,
Affenpinscher,https://cdn.royalcanin-weshare-online.io/CyLTxWoBaxEApS7L0xy3/v1/bd121bl-hub-affenpinscher-adult-standing?w=320&fm=jpg&auto=compress,"El pelo de los Affenpinscher es un rasgo característico: tiene cejas tupidas y esponjosas, un anillo alrededor de los ojos, una barba imponente, un copete en la parte superior de la cabeza y bigotes laterales. Debe ser lo más duro y desgreñado posible. Estas características son las que le dan a la raza una expresión similar a la de un mono, lo que le da su nombre en alemán: ""affen"" significa simio. El Affenpinscher combina una personalidad cautivadora y pícara con una naturaleza audaz y una gran inteligencia; unas cualidades que hacen de él una excelente mascota familiar. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",S (5-10 kg),True, Alemania,Pequeño,12–14 años,Seguro,Alerta,Leal,Entusiasta,Equilibrado,,Jardín no esencial,,Un gran perro para una familia,,,Requiere muchos cuidados,,
Basset Leonado De Bretaña,https://cdn.royalcanin-weshare-online.io/AiLQxWoBaxEApS7L7Bxa/v1/bd138bl-hub-basset-fauve-de-bretagne-adult-standing?w=320&fm=jpg&auto=compress,"Además de cazadores apasionados, los miembros de esta raza son excelentes compañeros para los humanos, muy apreciados por su sociabilidad, afecto y equilibrio. Les resulta fácil adaptarse a cualquier presa y terreno. En la caza, son valientes, astutos y obstinados, lo que los hace especialmente eficientes. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",S (5-10 kg),False, Francia,Pequeño,11–14 años,Fuerte,Alegre,Sociable,Cariñoso,Adaptable,Obstinado,Requiere espacio exterior,,Un gran perro para una familia,,,Necesita cuidados moderados,,
Bedlington Terrier,https://cdn.royalcanin-weshare-online.io/DCLUxWoBaxEApS7LIRwL/v3/bd143bl-hub-bedlington-terrier-adult-standing?w=320&fm=jpg&auto=compress,"A pesar de apariencia tranquila y en alerta, los Bedlington terriers pueden correr a gran velocidad. Los Bedlington son perros gráciles y musculosos sin ningún signo de debilidad o tosquedad. Dado su carácter poco exigente, son fáciles de criar y educar, y son populares entre las familias por su naturaleza tranquila y leal. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",S (5-10 kg),True, Reino Unido,Pequeño,14–16 años,Seguro,Alerta,Afable,Dócil,Independiente,Inteligente,,,Un gran perro para una familia,Disfruta del entrenamiento,,Necesita cuidados moderados,,
Bichón Frisé,https://cdn.royalcanin-weshare-online.io/4GlFHWsBG95Xk-RB8fhT/v1/bd31bl-hub-bichon-frise-adult-standing?w=320&fm=jpg&auto=compress,"El Bichón Frisé tiene todas las cualidades físicas y comportamentales que se esperan de un perro de compañía, entre ellas, una gran afectuosidad. Por eso ha logrado una gran popularidad en todo el mundo como perro de compañía. Los Bichón Frisé son perros muy vivaces, juguetones, con ojos expresivos y de carácter alegre. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",S (5-10 kg),True, Francia,Pequeño,12–15 años,Alegre,Seguro,Tranquilo,Sociable,Adaptable,Cariñoso,Jardín no esencial,,,Necesita un entrenamiento moderado,,Requiere muchos cuidados,,
Bichón Habanero,https://cdn.royalcanin-weshare-online.io/MyLgHWsBaxEApS7LnR1b/v1/bd72bl-hub-havanese-adult-standing?w=320&fm=jpg&auto=compress,"Los Bichones habaneros son perros pequeños y robustos de patas cortas y andar alegre. Tienen un pelaje abundante, suave y largo, que a menudo es ondulado. Estos perros son cariñosos con sus propietarios y les gusta estar a su lado todo el día. Los Bichones habaneros siempre están alerta y avisan a sus propietarios si se acercan extraños; por lo tanto, son excelentes perros guardianes. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",S (5-10 kg),True, Cuba,Pequeño,12–15 años,Inteligente,Alerta,Afable,Juguetón,Cariñoso,,,,,Necesita poco entrenamiento,,Necesita cuidados moderados,,Un gran perro guardián
Border Terrier,https://cdn.royalcanin-weshare-online.io/6GlPHWsBG95Xk-RBdPjR/v1/bd35bl-hub-border-terrier-adult-standing?w=320&fm=jpg&auto=compress,"Los Border terriers, de complexión fuerte, bien equilibrados y llenos de energía, son perros intrépidos. Esta raza tiene todos los rasgos de comportamiento de un perro de trabajo. Antes de ser reconocidos por The Kennel Club, los Border terriers a menudo tenían que alimentarse por sí mismos y solo aquellos con instinto cazador encontraban suficiente comida. En gran medida, esto explica el carácter de la raza. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",S (5-10 kg),False, Reino Unido,Pequeño,12–15 años,Alegre,Juguetón,,,,,Jardín no esencial,,,Necesita poco entrenamiento,,Necesita cuidados moderados,,
Boston Terrier,https://cdn.royalcanin-weshare-online.io/62lSHWsBG95Xk-RBcPhv/v1/bd37bl-hub-boston-terrier-adult-standing?w=320&fm=jpg&auto=compress,"Los Boston terriers transmiten una imagen de determinación, fuerza y actividad, y se mueven con libertad y elegancia.  Los Boston terriers son perros atentos, afables y cariñosos a los que se les reconoce fácilmente por su característico pelaje blanco y negro, que recuerda a un ""esmoquin"". Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",S (5-10 kg),False, Estados Unidos,Pequeño,13–15 años,Afable,Alegre,Inteligente,Equilibrado,,,Jardín no esencial,,,Necesita poco entrenamiento,,Necesita cuidados moderados,,
Braco De Auvernia,https://upload.wikimedia.org/wikipedia/commons/b/bb/Braque_d_Auvergne.jpg,"Esta raza dócil y muy cariñosa es inteligente y amigable, características que lo convierten en un maravilloso perro de familia. Como perros de muestra, los bracos de Auvernia tienen un olfato muy potente. Sus cualidades naturales deberían desarrollarse y potenciarse durante la periodo de educación. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",S (5-10 kg),False, Francia,Pequeño,12–15 años,Dócil,Cariñoso,Inteligente,Obediente,Fuerte,,,,Un gran perro para una familia,,,Requiere cuidados mínimos,,
Bull Terrier,https://cdn.royalcanin-weshare-online.io/-mlZHWsBG95Xk-RB9fgV/v5/bd43bl-hub-bull-terrier-adult-standing?w=320&fm=jpg&auto=compress,"Equilibrados y dispuestos para la disciplina, los bull terriers son especialmente buenos con las personas y se asientan bien en el papel de acompañante familiar.  Fuertes, bien equilibrados y activos, los bull terriers tienen una expresión alegre, obstinada e inteligente. En acción, los bull terriers se ven muy resueltos; se mueven con pasos regulares, amplios y gráciles, con una agilidad característica. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",S (5-10 kg),False, Reino Unido,Pequeño,11–14 años,Alegre,Obstinado,Inteligente,Entusiasta,Juguetón,Equilibrado,,,Paciente con niños y otros animales,,,,,
Cairn Terrier,https://cdn.royalcanin-weshare-online.io/AGldHWsBG95Xk-RBvfns/v1/bd45bl-hub-cairn-terrier-adult-standing?w=320&fm=jpg&auto=compress,"Los ""cairns"" son montículos de piedras rústicas que se construyeron como monumento o hito en la cima de colinas o en las laderas de Escocia. Los insectos y animales pequeños los utilizan para esconderse y los Cairn Terriers fueron criados para cazarlos.  Los Cairn Terriers son perros activos y robustos. Se afirman sobre las patas delanteras y se mueven con mucha soltura; suelen dar grandes saltos usando las patas traseras para impulsarse con fuerza. Como todos los terriers de trabajo, el pelo de los Cairns es resistente a la intemperie. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",S (5-10 kg),True, Reino Unido,Pequeño,12–15 años,Ágil,Alerta,Alegre,Juguetón,Fuerte,Seguro,Jardín no esencial,,Bueno con las personas,Requiere mucho entrenamiento,,,,
Carlino,https://cdn.royalcanin-weshare-online.io/wmmiHGsBG95Xk-RBsfhY/v1/bd2bl-hub-pug-adult-standing?w=320&fm=jpg&auto=compress,"El carlino tiene un aspecto especial, que a muchos les resulta increíblemente atractivo y, como tal, su popularidad aumenta año tras año. Los carlinos tienen un pelaje fácil de mantener y no necesitan hacer demasiado ejercicio, lo cual supone una gran ventaja para propietarios ocupados. El carlino, una mascota sumamente adorable, es conocido por su carácter curioso y enérgico. Forma parte del grupo de perros toy, pero resulta especial por ser el único miembro del grupo que supuestamente comparte su ascendencia con los mastines. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",S (5-10 kg),False, China,Pequeño,12–15 años,Equilibrado,Afable,Alegre,Inteligente,,,Jardín no esencial,,,Requiere mucho entrenamiento,,Necesita cuidados moderados,,
Cavalier King Charles,https://cdn.royalcanin-weshare-online.io/yvphHWsBIYfdNSoCRhpx/v1/bd48bl-hub-cavalier-king-charles-spaniel-adult-standing?w=320&fm=jpg&auto=compress,"Su naturaleza alegre y afable, carente de cualquier agresividad, ha acrecentado la popularidad de esta raza desde finales del milenio pasado. Activo, afable y equilibrado, el Cavalier King Charles tiene una expresión especialmente dócil, con grandes ojos oscuros que exudan inteligencia y curiosidad. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",S (5-10 kg),False, Reino Unido,Pequeño,10–14 años,Alegre,Cariñoso,Seguro,Afable,Equilibrado,,Adecuado para casas pequeñas,,Un gran perro para una familia,Requiere mucho entrenamiento,,,,
Coton De Tuléar,https://cdn.royalcanin-weshare-online.io/HCKLHWsBaxEApS7L1x3Q/v5/bd53bl-hub-coton-de-tulear-adult-standing?w=320&fm=jpg&auto=compress,"El pelaje es una de las características principales de esta raza, hasta tal punto que debido a esto recibe su nombre. El pelo de textura algodonada es suave y maleable. Estos perros tienen ojos oscuros y redondos que expresan vivacidad e inteligencia.  El carácter sociable y alegre es una de las características principales de la raza. Estos pequeños y encantadores perros establecen estrechos lazos rápidamente con sus propietarios y se llevan bien con otros perros. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",S (5-10 kg),True, Madagascar,Pequeño,14–16 años,Alegre,Inteligente,Afable,Sociable,Adaptable,,Jardín no esencial,,Un gran perro para una familia,,,Necesita cuidados moderados,,
Dandie Dinmont Terrier,https://cdn.royalcanin-weshare-online.io/GPotxWoBIYfdNSoCHRlP/v1/bd174bl-hub-dandie-dinmont-terrier-adult-standing?w=320&fm=jpg&auto=compress,"Estos alegres y trabajadores terriers son perros independientes, muy inteligentes, obstinados, tenaces, sensibles, cariñosos y dignos perros de compañía. Tiene una frondosa capa de pelo suave en la cabeza y grandes ojos que irradian inteligencia y sabiduría. El cuerpo largo y de baja altura a la cruz, tiene una estructura sólida, con patas cortas y robustas. Dandie Dinmont era un granjero que tenía una jauría de estos perros en la novela Guy Mannering o El astrólogo, de Sir Walter Scott, ambientada en las fronteras entre Escocia e Inglaterra. Scott también proporcionó los nombres de los colores ""pimienta"" y ""mostaza"". Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",S (5-10 kg),False, Reino Unido,Pequeño,12–15 años,Inteligente,Independiente,Obstinado,Cariñoso,,,Jardín no esencial,,Un gran perro para una familia,,,Requiere muchos cuidados,,
Fox Terrier De Pelo Duro,https://www.purina.es/sites/default/files/styles/ttt_image_original/public/2021-02/BREED%20Hero%20Desktop_0115_fox_terrier_wire.webp?itok=o-YPsysc,"De pie, los fox terrier de pelo duro parecen un caballo de caza con el lomo más corto. En movimiento, abarcan mucho terreno. Hasta el auge de las razas terrier mini como perros de compañía, el fox terrier de pelo duro fue, con mucha diferencia, el miembro más popular de la familia durante siglos. Estos perros son afables y sociables con sus compañeros cercanos, pero audaces y obstinados siguiendo un rastro, bien en la superficie o bajo suelo. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",S (5-10 kg),True, Reino Unido,Pequeño,12–14 años,Alegre,Alerta,Entusiasta,Afable,Seguro,,,,Un gran perro para una familia,,,Requiere muchos cuidados,Necesita ejercicio moderado,
Fox Terrier De Pelo Liso,https://cdn.royalcanin-weshare-online.io/sWnjsmoBG95Xk-RB9vaD/v1/bd305bl-hub-fox-terrier-smooth-adult-standing?w=320&fm=jpg&auto=compress,"Los Fox Terrier de Pelo Liso son perros activos y alegres; siempre están atentos y alerta ante cualquier desafío. Son afables, sociables y osados. Como su propio nombre indica (""fox"" significa ""zorro"" en inglés), su función principal consistía en rastrear y perseguir zorros. Ya sea que el Fox Terrier de Pelo Liso se utilice para cazar o no, le encanta correr, cavar y explorar y por eso son más adecuados para las familias activas. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",S (5-10 kg),False, Reino Unido,Pequeño,12–15 años,Alerta,Entusiasta,Afable,Seguro,,,Jardín no esencial,,,Requiere mucho entrenamiento,,Necesita cuidados moderados,,
Grifón Belga,https://cdn.royalcanin-weshare-online.io/dvrNsmoBIYfdNSoCKBiq/v1/bd209bl-hub-griffon-belge-adult-standing?w=320&fm=jpg&auto=compress,"Estos perros, inteligentes y bien equilibrados, está siempre en alerta, y son orgullosos y robustos. De constitución prácticamente cuadrada, tienen una buena estructura ósea, pero, aunque parezca contradictorio, son elegantes y se mueven con gracia. Su expresión casi humana llama la atención. Ni tímidos ni agresivos, son muy atentos y apegados a su compañero humano. Las tres razas (Grifón de Bruselas, Grifón Belga y Petit Brabançon) descienden de un perrito de pelaje áspero llamado Smousje, que llevaba siglos en la región de Bruselas. Estos perritos se criaron para vigilar carros y mantener los establos libres de roedores. Los dos Grifones tienen un pelaje áspero y pueden distinguirse por el color, mientras que el Petit Brabançon tiene el pelo corto. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",S (5-10 kg),False, Bélgica,Pequeño,12–15 años,Cariñoso,Alerta,Afable,Inteligente,Leal,Tranquilo,,,,Requiere mucho entrenamiento,,Requiere cuidados mínimos,Necesita mucho ejercicio,
Grifón De Bruselas,https://cdn.royalcanin-weshare-online.io/-GlZHWsBG95Xk-RBQ_jY/v1/bd42bl-hub-griffon-bruxellois-adult-standing?w=320&fm=jpg&auto=compress,"El Grifón de Bruselas, originario de Bélgica como ratonero, se convirtió muy pronto en una mascota muy apreciada. Esta raza, de carácter muy nervioso y sensible, a menudo necesita ser el centro de atención por lo que necesita un propietario que esté preparado para dedicar todo su tiempo a su nuevo compañero.  Aunque es de pequeño tamaño, el Grifón de Bruselas disfruta de los entrenamientos de agility y obediencia, y suele destacar en deportes de rendimiento. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",S (5-10 kg),False, Bélgica,Pequeño,12–15 años,Inteligente,Equilibrado,Alerta,Fuerte,Leal,Seguro,Adecuado para casas pequeñas,,Un gran perro para una familia,,,Necesita cuidados moderados,,
Jack Russell Terrier,https://t2.ea.ltmcdn.com/es/razas/2/0/0/jack-russell-terrier_2_0_600.webp,"Los Jack Russell Terrier tienen una gran personalidad y carácter, y pueden superar y agotar a perros de tamaño mucho más grande. Por lo tanto, necesitan mucho ejercicio y estimulación todos los días.  La raza Jack Russell Terrier suele ser popular entre los propietarios de caballos, ya que no hay nada que estos terriers adoren más que ocuparse de los establos y acompañar a los jinetes cuando salen. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",S (5-10 kg),False, Reino Unido,Pequeño,13–16 años,Alegre,Alerta,Inteligente,Seguro,Afable,Entusiasta,Jardín no esencial,,Es posible que no se lleve bien con los niños,Necesita un entrenamiento moderado,,,,
Jagd Terrier,https://cdn.royalcanin-weshare-online.io/hPrSsmoBIYfdNSoCDhgf/v1/bd229bl-hub-german-hunting-terrier-adult-standing?w=320&fm=jpg&auto=compress,"Los Jagd Terriers son los terriers perfectos para trabajo. Estos perros, aún criados por cazadores en su mayoría, son ideales para la caza bajo tierra y como perros levantadores. Son perros de confianza, serviciales, intrépidos, tenaces y llenos de energía. Los Jagd Terrier, compactos y bien proporcionados, son animales sociables y obedientes; no son agresivos ni asustadizos. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",S (5-10 kg),False, Alemania,Pequeño,12–15 años,Seguro,Obstinado,Leal,Cariñoso,,,,,,Requiere mucho entrenamiento,Le encanta cazar,,,
King Charles Spaniel,https://www.purina.es/sites/default/files/styles/ttt_image_original/public/2021-02/BREED%20Hero%20Desktop_0142_king_charles_spaniel.webp?itok=z1WFPY7P,"Los King Charles spaniel, a veces conocidos como spaniels ingleses miniatura, son perros inteligentes y alegres. Aunque suelen mostrarse tímidos con los extraños, son muy dóciles y cariñosos con los que conocen.  El King Charles spaniel es un excelente compañero para personas mayores o con problemas de movilidad, ya que requieren poco ejercicio y nada les gusta más que dedicar el día a relajarse con sus propietarios. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",S (5-10 kg),False, Reino Unido,Pequeño,10–12 años,Afable,Inteligente,Tímido,Dócil,Cariñoso,,,,,,Un gran perro deportivo,,,
Lakeland Terrier,https://cdn.royalcanin-weshare-online.io/omnWsmoBG95Xk-RBU_bA/v1/bd240bl-hub-lakeland-terrier-adult-standing?w=320&fm=jpg&auto=compress,"Seguros de sí mismos, audaces y con una actitud entusiasta, estos perros compactos se mueven muy rápido. El Lakeland Terrier, desarrollado para correr con jaurías de perros por el terreno empinado y rocoso del Distrito de los Lagos, es un perro muy seguro, ágil y extremadamente resistente. El pelo de color negro y marrón es el más común entre los Lakeland Terriers, pero también hay una variedad de color negro. En Gran Bretaña desapareció, pero los criadores escandinavos lo han vuelto a introducir en la población. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",S (5-10 kg),False, Reino Unido,Pequeño,12–16 años,Inteligente,Equilibrado,Seguro,Entusiasta,Afable,,,,Paciente con niños y otros animales,,,Requiere cuidados mínimos,Necesita mucho ejercicio,
